PlayerID,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,
player821,2004-05,25,SEA,NBA,SG,49,883,9.9,.433,.262,.220,2.1,11.5,6.8,12.7,1.9,1.0,12.5,23.8,-0.8,0.5,-0.3,-0.016,-3.1,-1.3,-4.5,-0.6,
player821,2005-06,26,TOT,NBA,SG,76,2112,11.5,.487,.184,.315,1.8,6.9,4.3,15.4,1.7,0.4,13.4,21.7,0.2,0.5,0.7,.015,-1.6,-2.2,-3.7,-0.9,
player821,2005-06,26,SEA,NBA,SG,48,1085,11.2,.463,.169,.306,2.0,7.7,4.8,18.1,1.4,0.3,13.4,24.4,-0.3,-0.3,-0.7,-0.029,-2.3,-3.9,-6.2,-1.2,
player821,2005-06,26,CLE,NBA,SG,28,1027,11.9,.520,.205,.328,1.7,6.1,3.9,12.6,2.0,0.5,13.4,18.9,0.5,0.9,1.3,.062,-0.8,-0.3,-1.1,0.2,
player821,2006-07,27,DET,NBA,SG,69,1477,10.8,.474,.189,.274,2.1,7.0,4.5,20.4,1.8,0.7,15.5,18.7,-0.1,1.4,1.3,.042,-2.2,-0.9,-3.1,-0.4,
player821,2007-08,28,TOT,NBA,PG,42,874,13.2,.483,.172,.267,3.0,7.9,5.4,27.5,2.2,0.3,17.0,25.3,-0.5,0.9,0.4,.024,-1.8,-1.4,-3.2,-0.3,
player821,2007-08,28,DET,NBA,PG,19,347,13.3,.457,.194,.266,4.5,8.0,6.2,31.0,2.1,0.2,16.6,25.3,-0.2,0.4,0.3,.036,-1.0,-0.9,-2.0,0.0,
player821,2007-08,28,IND,NBA,PG,23,527,13.1,.498,.158,.268,2.0,7.8,4.8,25.3,2.3,0.4,17.2,25.3,-0.3,0.5,0.2,.016,-2.4,-1.7,-4.1,-0.3,
player821,2008-09,29,ATL,NBA,SG,80,1975,14.7,.543,.304,.293,1.3,8.7,5.0,14.0,2.4,0.7,12.5,24.3,1.2,2.0,3.1,.076,-0.2,-1.3,-1.5,0.3,
player821,2009-10,30,TOT,NBA,SG,75,1673,11.7,.485,.324,.284,2.0,10.6,6.4,14.0,1.4,0.8,10.6,23.6,-0.2,2.0,1.8,.051,-1.7,-1.3,-3.0,-0.4,
